step,R1.0,R0.9,R0.8,R0.7,R0.6,R0.5
4447.0,0.76,0.92,0.85,0.79,0.84,0.71
4448.0,0.76,0.94,0.87,0.81,0.82,0.71
4449.0,0.76,0.93,0.84,0.79,0.83,0.72
4450.0,0.76,0.93,0.86,0.81,0.83,0.7
4451.0,0.76,0.93,0.86,0.79,0.84,0.72
4452.0,0.76,0.93,0.86,0.81,0.83,0.74
4453.0,0.76,0.93,0.84,0.79,0.83,0.7
4454.0,0.76,0.93,0.87,0.81,0.83,0.72
4455.0,0.76,0.93,0.83,0.79,0.84,0.71
4456.0,0.76,0.93,0.86,0.81,0.82,0.72
4457.0,0.76,0.93,0.84,0.79,0.84,0.7
4458.0,0.76,0.94,0.87,0.81,0.82,0.72
4459.0,0.76,0.92,0.84,0.79,0.84,0.7
4460.0,0.76,0.94,0.86,0.81,0.82,0.72
4461.0,0.75,0.92,0.83,0.79,0.83,0.72
4462.0,0.75,0.94,0.86,0.81,0.83,0.7
4463.0,0.75,0.92,0.84,0.79,0.84,0.72
4464.0,0.75,0.94,0.86,0.81,0.82,0.73
4465.0,0.75,0.92,0.85,0.79,0.83,0.72
4466.0,0.75,0.93,0.85,0.81,0.83,0.71
4467.0,0.75,0.93,0.84,0.79,0.84,0.71
4468.0,0.75,0.93,0.86,0.81,0.82,0.73
4469.0,0.75,0.93,0.84,0.79,0.83,0.71
4470.0,0.75,0.93,0.85,0.81,0.83,0.72
4471.0,0.75,0.93,0.85,0.79,0.83,0.69
4472.0,0.75,0.93,0.85,0.81,0.82,0.73
4473.0,0.75,0.93,0.84,0.79,0.83,0.7
4474.0,0.75,0.93,0.86,0.81,0.83,0.7
4475.0,0.75,0.93,0.83,0.79,0.84,0.71
4476.0,0.75,0.93,0.87,0.81,0.82,0.71
4477.0,0.75,0.93,0.84,0.79,0.84,0.71
4478.0,0.75,0.93,0.86,0.81,0.82,0.72
4479.0,0.75,0.93,0.83,0.79,0.84,0.72
4480.0,0.75,0.93,0.85,0.81,0.83,0.71
4481.0,0.75,0.93,0.84,0.79,0.84,0.69
4482.0,0.75,0.93,0.87,0.81,0.82,0.71
4483.0,0.75,0.93,0.84,0.79,0.84,0.71
4484.0,0.75,0.94,0.86,0.81,0.82,0.7
4485.0,0.75,0.92,0.84,0.79,0.84,0.72
4486.0,0.75,0.94,0.86,0.81,0.82,0.7
4487.0,0.75,0.92,0.84,0.79,0.84,0.7
4488.0,0.75,0.94,0.86,0.81,0.82,0.73
4489.0,0.75,0.92,0.83,0.79,0.84,0.72
4490.0,0.75,0.94,0.86,0.81,0.82,0.71
4491.0,0.75,0.92,0.84,0.79,0.83,0.7
4492.0,0.75,0.94,0.86,0.81,0.83,0.7
4493.0,0.75,0.92,0.84,0.79,0.84,0.71
4494.0,0.75,0.94,0.86,0.81,0.82,0.72
4495.0,0.75,0.92,0.83,0.79,0.84,0.69
4496.0,0.75,0.94,0.86,0.81,0.82,0.74
4497.0,0.75,0.92,0.83,0.79,0.83,0.7
4498.0,0.75,0.94,0.87,0.81,0.83,0.7
4499.0,0.75,0.92,0.84,0.79,0.83,0.72
4500.0,0.75,0.94,0.85,0.81,0.83,0.71
4501.0,0.75,0.92,0.83,0.79,0.84,0.71
4502.0,0.75,0.94,0.85,0.81,0.83,0.72
4503.0,0.75,0.92,0.84,0.79,0.84,0.7
4504.0,0.75,0.94,0.87,0.81,0.82,0.72
4505.0,0.75,0.93,0.84,0.79,0.84,0.72
4506.0,0.75,0.93,0.86,0.81,0.83,0.71
4507.0,0.75,0.93,0.85,0.79,0.84,0.7
4508.0,0.75,0.93,0.85,0.81,0.82,0.71
4509.0,0.75,0.93,0.84,0.79,0.83,0.72
4510.0,0.75,0.93,0.87,0.81,0.83,0.74
4511.0,0.75,0.93,0.84,0.79,0.83,0.7
4512.0,0.75,0.93,0.85,0.81,0.83,0.71
4513.0,0.75,0.93,0.84,0.79,0.84,0.7
4514.0,0.75,0.94,0.84,0.81,0.82,0.71
4515.0,0.75,0.93,0.84,0.79,0.83,0.72
4516.0,0.75,0.94,0.84,0.81,0.83,0.72
4517.0,0.75,0.93,0.84,0.79,0.84,0.7
4518.0,0.75,0.94,0.86,0.81,0.82,0.73
4519.0,0.75,0.93,0.84,0.79,0.84,0.7
4520.0,0.75,0.94,0.85,0.81,0.83,0.72
4521.0,0.75,0.93,0.84,0.79,0.83,0.72
4522.0,0.75,0.94,0.85,0.81,0.82,0.71
4523.0,0.75,0.93,0.85,0.79,0.84,0.72
4524.0,0.75,0.94,0.85,0.81,0.82,0.73
4525.0,0.75,0.93,0.83,0.79,0.83,0.69
4526.0,0.75,0.94,0.85,0.81,0.83,0.72
4527.0,0.75,0.93,0.83,0.79,0.84,0.7
4528.0,0.75,0.94,0.86,0.81,0.82,0.7
4529.0,0.75,0.93,0.84,0.79,0.83,0.71
4530.0,0.75,0.93,0.84,0.81,0.83,0.71
4531.0,0.75,0.94,0.84,0.79,0.84,0.71
4532.0,0.75,0.93,0.84,0.81,0.82,0.71
4533.0,0.75,0.94,0.84,0.79,0.84,0.71
4534.0,0.75,0.93,0.85,0.81,0.82,0.7
4535.0,0.75,0.94,0.84,0.79,0.84,0.7
4536.0,0.75,0.93,0.84,0.81,0.82,0.69
4537.0,0.75,0.94,0.84,0.79,0.83,0.73
4538.0,0.75,0.93,0.84,0.81,0.82,0.7
4539.0,0.75,0.94,0.84,0.79,0.83,0.71
4540.0,0.75,0.93,0.86,0.81,0.83,0.7
4541.0,0.75,0.94,0.84,0.79,0.83,0.73
4542.0,0.75,0.93,0.85,0.81,0.83,0.72
4543.0,0.75,0.94,0.85,0.79,0.83,0.72
4544.0,0.75,0.93,0.85,0.81,0.83,0.71
4545.0,0.75,0.94,0.85,0.79,0.83,0.71
4546.0,0.75,0.93,0.85,0.81,0.83,0.69
4547.0,0.75,0.94,0.84,0.79,0.83,0.73
4548.0,0.75,0.93,0.84,0.81,0.83,0.71
4549.0,0.75,0.94,0.85,0.79,0.83,0.72
4550.0,0.75,0.93,0.86,0.81,0.82,0.7
4551.0,0.75,0.94,0.84,0.79,0.84,0.71
4552.0,0.75,0.93,0.85,0.81,0.83,0.71
4553.0,0.75,0.94,0.84,0.79,0.83,0.68
4554.0,0.75,0.93,0.86,0.81,0.82,0.71
4555.0,0.75,0.93,0.85,0.79,0.84,0.72
4556.0,0.75,0.94,0.84,0.81,0.83,0.7
4557.0,0.75,0.93,0.84,0.79,0.83,0.73
4558.0,0.75,0.94,0.86,0.81,0.83,0.69
4559.0,0.75,0.93,0.84,0.79,0.84,0.73
4560.0,0.76,0.94,0.86,0.81,0.83,0.72
4561.0,0.76,0.93,0.83,0.79,0.84,0.71
4562.0,0.76,0.94,0.85,0.81,0.82,0.71
4563.0,0.76,0.93,0.85,0.79,0.84,0.71
4564.0,0.76,0.94,0.85,0.81,0.82,0.71
4565.0,0.76,0.94,0.85,0.79,0.83,0.72
4566.0,0.76,0.93,0.85,0.81,0.83,0.7
4567.0,0.76,0.94,0.84,0.79,0.84,0.7
4568.0,0.76,0.94,0.85,0.81,0.82,0.72
4569.0,0.76,0.94,0.84,0.79,0.84,0.71
4570.0,0.76,0.94,0.85,0.81,0.82,0.74
4571.0,0.76,0.93,0.84,0.79,0.83,0.69
4572.0,0.75,0.94,0.84,0.81,0.82,0.71
4573.0,0.75,0.93,0.83,0.79,0.83,0.71
4574.0,0.75,0.94,0.85,0.81,0.83,0.72
4575.0,0.75,0.93,0.84,0.79,0.83,0.68
4576.0,0.75,0.94,0.84,0.81,0.83,0.7
4577.0,0.75,0.93,0.84,0.79,0.84,0.71
4578.0,0.75,0.94,0.84,0.81,0.82,0.7
4579.0,0.75,0.93,0.84,0.79,0.84,0.7
4580.0,0.75,0.94,0.86,0.81,0.83,0.72
4581.0,0.75,0.93,0.85,0.79,0.83,0.71
4582.0,0.75,0.94,0.85,0.81,0.83,0.71
4583.0,0.75,0.93,0.83,0.79,0.84,0.73
4584.0,0.76,0.94,0.86,0.81,0.82,0.7
4585.0,0.75,0.93,0.84,0.79,0.84,0.73
4586.0,0.75,0.94,0.85,0.81,0.82,0.71
4587.0,0.75,0.93,0.85,0.79,0.84,0.7
4588.0,0.75,0.94,0.85,0.81,0.83,0.72
4589.0,0.75,0.94,0.84,0.79,0.84,0.73
4590.0,0.75,0.93,0.86,0.81,0.82,0.71
4591.0,0.75,0.94,0.83,0.79,0.83,0.71
4592.0,0.75,0.93,0.84,0.81,0.83,0.69
4593.0,0.75,0.94,0.85,0.79,0.83,0.74
4594.0,0.75,0.93,0.85,0.81,0.82,0.71
4595.0,0.75,0.94,0.84,0.79,0.83,0.7
4596.0,0.75,0.93,0.85,0.81,0.83,0.69
4597.0,0.75,0.94,0.83,0.79,0.83,0.73
4598.0,0.75,0.93,0.85,0.81,0.83,0.72
4599.0,0.75,0.93,0.84,0.79,0.84,0.71
4600.0,0.75,0.94,0.85,0.81,0.82,0.7
4601.0,0.75,0.93,0.84,0.79,0.83,0.72
4602.0,0.75,0.95,0.84,0.81,0.83,0.71
4603.0,0.75,0.92,0.84,0.79,0.83,0.7
4604.0,0.75,0.95,0.86,0.81,0.82,0.71
4605.0,0.75,0.93,0.84,0.79,0.83,0.72
4606.0,0.75,0.95,0.85,0.81,0.83,0.7
4607.0,0.75,0.93,0.84,0.79,0.83,0.72
4608.0,0.75,0.95,0.85,0.81,0.83,0.73
4609.0,0.75,0.93,0.83,0.79,0.83,0.71
4610.0,0.75,0.95,0.85,0.81,0.83,0.7
4611.0,0.75,0.93,0.84,0.79,0.84,0.72
4612.0,0.75,0.95,0.84,0.81,0.83,0.7
4613.0,0.75,0.93,0.85,0.79,0.84,0.73
4614.0,0.75,0.95,0.84,0.81,0.83,0.71
4615.0,0.75,0.93,0.84,0.79,0.83,0.71
4616.0,0.75,0.95,0.85,0.81,0.82,0.7
4617.0,0.75,0.93,0.84,0.79,0.83,0.7
4618.0,0.75,0.95,0.84,0.81,0.83,0.7
4619.0,0.75,0.93,0.85,0.79,0.84,0.71
4620.0,0.75,0.95,0.84,0.81,0.82,0.73
4621.0,0.75,0.93,0.83,0.79,0.83,0.68
4622.0,0.75,0.95,0.85,0.81,0.82,0.72
4623.0,0.75,0.93,0.83,0.79,0.83,0.7
4624.0,0.75,0.94,0.85,0.81,0.83,0.68
4625.0,0.75,0.93,0.85,0.79,0.84,0.73
4626.0,0.75,0.95,0.84,0.81,0.82,0.7
4627.0,0.75,0.93,0.84,0.79,0.83,0.72
4628.0,0.75,0.95,0.84,0.81,0.83,0.72
4629.0,0.75,0.93,0.84,0.79,0.84,0.71
4630.0,0.75,0.95,0.85,0.81,0.82,0.72
4631.0,0.75,0.93,0.85,0.79,0.84,0.69
4632.0,0.75,0.95,0.85,0.81,0.82,0.72
4633.0,0.75,0.93,0.85,0.79,0.84,0.7
4634.0,0.75,0.95,0.84,0.81,0.82,0.7
4635.0,0.75,0.93,0.85,0.79,0.83,0.7
4636.0,0.75,0.95,0.85,0.81,0.83,0.73
4637.0,0.75,0.93,0.84,0.79,0.84,0.7
4638.0,0.75,0.95,0.86,0.81,0.83,0.71
4639.0,0.75,0.93,0.83,0.79,0.83,0.71
4640.0,0.75,0.95,0.86,0.81,0.83,0.7
4641.0,0.75,0.93,0.85,0.79,0.84,0.72
4642.0,0.75,0.95,0.85,0.81,0.83,0.71
4643.0,0.75,0.93,0.84,0.79,0.84,0.72
4644.0,0.75,0.95,0.85,0.81,0.82,0.73
4645.0,0.75,0.93,0.84,0.79,0.83,0.68
4646.0,0.75,0.95,0.86,0.81,0.82,0.68
4647.0,0.75,0.93,0.85,0.79,0.83,0.7
4648.0,0.75,0.95,0.84,0.81,0.83,0.71
4649.0,0.75,0.93,0.84,0.79,0.84,0.73
4650.0,0.75,0.95,0.84,0.81,0.83,0.71
4651.0,0.75,0.93,0.84,0.79,0.83,0.71
4652.0,0.75,0.95,0.85,0.81,0.82,0.74
4653.0,0.75,0.93,0.84,0.79,0.83,0.69
4654.0,0.75,0.95,0.85,0.81,0.83,0.72
4655.0,0.75,0.93,0.84,0.79,0.83,0.71
4656.0,0.75,0.95,0.85,0.81,0.82,0.72
4657.0,0.75,0.93,0.83,0.79,0.83,0.7
4658.0,0.75,0.95,0.85,0.81,0.82,0.72
4659.0,0.75,0.93,0.83,0.79,0.83,0.72
4660.0,0.75,0.95,0.85,0.81,0.83,0.7
4661.0,0.75,0.93,0.84,0.79,0.83,0.72
4662.0,0.75,0.95,0.86,0.81,0.82,0.71
4663.0,0.75,0.93,0.85,0.79,0.84,0.71
4664.0,0.75,0.95,0.84,0.81,0.82,0.71
4665.0,0.75,0.93,0.84,0.79,0.83,0.72
4666.0,0.75,0.95,0.85,0.81,0.83,0.7
4667.0,0.75,0.93,0.85,0.79,0.84,0.72
4668.0,0.75,0.95,0.85,0.81,0.83,0.69
4669.0,0.75,0.93,0.84,0.79,0.83,0.71
4670.0,0.76,0.95,0.84,0.81,0.83,0.7
4671.0,0.76,0.93,0.83,0.79,0.84,0.72
4672.0,0.76,0.95,0.85,0.81,0.82,0.73
4673.0,0.76,0.93,0.84,0.79,0.83,0.7
4674.0,0.76,0.95,0.85,0.81,0.83,0.7
4675.0,0.76,0.93,0.83,0.79,0.83,0.73
4676.0,0.76,0.95,0.85,0.81,0.82,0.7
4677.0,0.76,0.94,0.84,0.79,0.83,0.71
4678.0,0.76,0.94,0.85,0.81,0.83,0.7
4679.0,0.76,0.94,0.84,0.79,0.83,0.7
4680.0,0.76,0.94,0.85,0.81,0.83,0.71
4681.0,0.76,0.94,0.83,0.79,0.84,0.71
4682.0,0.76,0.94,0.85,0.81,0.83,0.71
4683.0,0.76,0.94,0.83,0.79,0.84,0.72
4684.0,0.76,0.94,0.86,0.81,0.82,0.71
4685.0,0.76,0.94,0.84,0.79,0.83,0.71
4686.0,0.76,0.94,0.85,0.81,0.83,0.72
4687.0,0.76,0.94,0.84,0.79,0.83,0.68
4688.0,0.76,0.94,0.85,0.81,0.83,0.71
4689.0,0.76,0.93,0.84,0.79,0.83,0.71
4690.0,0.76,0.95,0.85,0.81,0.83,0.72
4691.0,0.76,0.93,0.84,0.79,0.83,0.73
4692.0,0.76,0.95,0.86,0.81,0.83,0.7
4693.0,0.76,0.93,0.84,0.79,0.83,0.72
4694.0,0.76,0.95,0.85,0.81,0.83,0.7
4695.0,0.76,0.93,0.85,0.79,0.84,0.71
4696.0,0.76,0.95,0.84,0.81,0.82,0.7
4697.0,0.76,0.93,0.84,0.79,0.83,0.7
4698.0,0.76,0.95,0.85,0.81,0.83,0.69
4699.0,0.76,0.93,0.84,0.79,0.83,0.7
4700.0,0.76,0.95,0.86,0.81,0.83,0.72
4701.0,0.76,0.93,0.85,0.79,0.84,0.72
4702.0,0.76,0.95,0.85,0.81,0.82,0.71
4703.0,0.76,0.93,0.85,0.79,0.83,0.71
4704.0,0.76,0.95,0.85,0.81,0.83,0.69
4705.0,0.76,0.93,0.84,0.79,0.83,0.7
4706.0,0.76,0.95,0.85,0.81,0.83,0.69
4707.0,0.76,0.93,0.83,0.79,0.84,0.72
4708.0,0.76,0.95,0.86,0.81,0.83,0.69
4709.0,0.76,0.93,0.83,0.79,0.84,0.71
4710.0,0.76,0.95,0.85,0.81,0.82,0.7
4711.0,0.76,0.93,0.84,0.79,0.83,0.7
4712.0,0.76,0.95,0.86,0.81,0.82,0.71
4713.0,0.76,0.93,0.83,0.79,0.84,0.73
4714.0,0.76,0.95,0.85,0.81,0.82,0.72
4715.0,0.76,0.93,0.83,0.79,0.83,0.71
4716.0,0.76,0.95,0.86,0.81,0.83,0.72
4717.0,0.76,0.93,0.85,0.79,0.84,0.72
4718.0,0.76,0.95,0.85,0.81,0.83,0.71
4719.0,0.76,0.93,0.84,0.79,0.83,0.7
4720.0,0.76,0.95,0.85,0.81,0.83,0.72
4721.0,0.76,0.93,0.83,0.79,0.84,0.71
4722.0,0.76,0.95,0.85,0.81,0.82,0.71
4723.0,0.76,0.94,0.83,0.79,0.84,0.73
4724.0,0.76,0.94,0.85,0.81,0.82,0.73
4725.0,0.76,0.94,0.84,0.79,0.83,0.71
4726.0,0.76,0.94,0.84,0.81,0.83,0.71
4727.0,0.76,0.94,0.84,0.79,0.84,0.71
4728.0,0.76,0.94,0.85,0.81,0.82,0.71
4729.0,0.76,0.94,0.84,0.79,0.84,0.71
4730.0,0.76,0.94,0.86,0.81,0.82,0.69
4731.0,0.76,0.93,0.85,0.79,0.84,0.71
4732.0,0.76,0.94,0.84,0.81,0.83,0.71
4733.0,0.76,0.93,0.84,0.79,0.83,0.7
4734.0,0.76,0.94,0.85,0.81,0.83,0.71
4735.0,0.76,0.93,0.83,0.79,0.83,0.72
4736.0,0.76,0.94,0.86,0.81,0.83,0.7
4737.0,0.76,0.93,0.84,0.79,0.84,0.7
4738.0,0.76,0.94,0.84,0.81,0.83,0.71
4739.0,0.76,0.93,0.84,0.79,0.83,0.71
4740.0,0.76,0.94,0.85,0.81,0.82,0.74
4741.0,0.76,0.93,0.84,0.79,0.83,0.71
4742.0,0.76,0.94,0.84,0.81,0.83,0.7
4743.0,0.76,0.93,0.84,0.79,0.84,0.73
4744.0,0.76,0.94,0.85,0.81,0.83,0.71
4745.0,0.76,0.93,0.84,0.79,0.84,0.73
4746.0,0.76,0.94,0.85,0.81,0.83,0.71
4747.0,0.76,0.93,0.85,0.79,0.83,0.72
4748.0,0.76,0.94,0.86,0.81,0.83,0.72
4749.0,0.76,0.93,0.83,0.79,0.83,0.72
4750.0,0.76,0.94,0.86,0.81,0.83,0.73
4751.0,0.76,0.93,0.84,0.79,0.83,0.68
4752.0,0.76,0.94,0.84,0.81,0.83,0.72
4753.0,0.76,0.93,0.84,0.79,0.84,0.72
4754.0,0.76,0.94,0.85,0.81,0.82,0.71
4755.0,0.75,0.93,0.84,0.79,0.84,0.71
4756.0,0.75,0.94,0.86,0.81,0.82,0.72
4757.0,0.75,0.93,0.84,0.79,0.84,0.72
4758.0,0.75,0.94,0.85,0.81,0.82,0.71
4759.0,0.75,0.93,0.84,0.79,0.83,0.7
4760.0,0.75,0.94,0.85,0.81,0.83,0.72
4761.0,0.75,0.93,0.84,0.79,0.83,0.7
4762.0,0.75,0.94,0.84,0.81,0.82,0.73
4763.0,0.75,0.93,0.83,0.79,0.83,0.69
4764.0,0.75,0.94,0.85,0.81,0.82,0.73
4765.0,0.75,0.93,0.84,0.79,0.84,0.7
4766.0,0.75,0.94,0.85,0.81,0.82,0.71
4767.0,0.75,0.93,0.84,0.79,0.84,0.72
4768.0,0.75,0.94,0.85,0.81,0.82,0.7
4769.0,0.75,0.93,0.84,0.79,0.83,0.71
4770.0,0.75,0.94,0.85,0.81,0.83,0.71
4771.0,0.75,0.93,0.84,0.79,0.83,0.71
4772.0,0.75,0.94,0.86,0.81,0.82,0.7
4773.0,0.75,0.93,0.84,0.79,0.84,0.72
4774.0,0.75,0.94,0.84,0.81,0.82,0.72
4775.0,0.75,0.93,0.84,0.79,0.83,0.68
4776.0,0.75,0.94,0.85,0.81,0.83,0.7
4777.0,0.75,0.93,0.84,0.79,0.84,0.71
4778.0,0.76,0.94,0.85,0.81,0.82,0.7
4779.0,0.76,0.93,0.84,0.79,0.84,0.73
4780.0,0.76,0.94,0.85,0.81,0.82,0.71
4781.0,0.76,0.93,0.84,0.79,0.83,0.72
4782.0,0.76,0.94,0.85,0.81,0.83,0.71
4783.0,0.76,0.93,0.85,0.79,0.84,0.73
4784.0,0.76,0.94,0.85,0.81,0.82,0.72
4785.0,0.76,0.93,0.83,0.79,0.84,0.72
4786.0,0.76,0.94,0.86,0.81,0.83,0.69
4787.0,0.76,0.93,0.83,0.79,0.84,0.7
4788.0,0.76,0.94,0.84,0.81,0.82,0.72
4789.0,0.76,0.93,0.84,0.79,0.83,0.71
4790.0,0.76,0.94,0.84,0.81,0.83,0.71
4791.0,0.76,0.93,0.83,0.79,0.84,0.71
4792.0,0.76,0.94,0.85,0.81,0.83,0.72
4793.0,0.76,0.93,0.84,0.79,0.83,0.71
4794.0,0.76,0.94,0.86,0.81,0.83,0.71
4795.0,0.76,0.93,0.84,0.79,0.84,0.73
4796.0,0.76,0.94,0.85,0.81,0.83,0.7
4797.0,0.76,0.93,0.85,0.79,0.83,0.71
4798.0,0.76,0.94,0.84,0.81,0.83,0.72
4799.0,0.76,0.93,0.84,0.79,0.83,0.71
4800.0,0.75,0.94,0.86,0.81,0.83,0.69
4801.0,0.76,0.93,0.84,0.79,0.84,0.71
4802.0,0.76,0.94,0.85,0.81,0.82,0.71
4803.0,0.76,0.93,0.84,0.79,0.83,0.72
4804.0,0.76,0.94,0.85,0.81,0.83,0.73
4805.0,0.76,0.93,0.85,0.79,0.83,0.71
4806.0,0.76,0.94,0.85,0.81,0.83,0.72
4807.0,0.76,0.93,0.85,0.79,0.83,0.7
4808.0,0.76,0.94,0.85,0.81,0.83,0.72
4809.0,0.76,0.93,0.85,0.79,0.83,0.72
4810.0,0.76,0.94,0.84,0.81,0.83,0.73
4811.0,0.76,0.93,0.84,0.79,0.84,0.72
4812.0,0.76,0.95,0.86,0.81,0.83,0.72
4813.0,0.76,0.93,0.83,0.79,0.83,0.7
4814.0,0.76,0.95,0.86,0.81,0.83,0.7
4815.0,0.76,0.93,0.83,0.79,0.84,0.69
4816.0,0.76,0.95,0.86,0.81,0.82,0.69
4817.0,0.76,0.93,0.84,0.79,0.84,0.7
4818.0,0.76,0.95,0.85,0.81,0.82,0.72
4819.0,0.76,0.93,0.84,0.79,0.84,0.72
4820.0,0.76,0.95,0.86,0.81,0.82,0.71
4821.0,0.76,0.93,0.83,0.79,0.84,0.7
4822.0,0.76,0.95,0.85,0.81,0.83,0.71
4823.0,0.76,0.93,0.83,0.79,0.84,0.71
4824.0,0.76,0.95,0.86,0.81,0.82,0.7
4825.0,0.76,0.93,0.83,0.79,0.83,0.72
4826.0,0.76,0.95,0.86,0.81,0.82,0.7
4827.0,0.76,0.93,0.83,0.79,0.84,0.72
4828.0,0.75,0.95,0.84,0.81,0.82,0.7
4829.0,0.76,0.93,0.85,0.79,0.83,0.72
4830.0,0.76,0.95,0.85,0.81,0.83,0.71
4831.0,0.76,0.93,0.85,0.79,0.84,0.71
4832.0,0.76,0.95,0.84,0.81,0.82,0.71
4833.0,0.76,0.93,0.83,0.79,0.83,0.72
4834.0,0.76,0.95,0.85,0.81,0.83,0.73
4835.0,0.76,0.93,0.84,0.79,0.84,0.7
4836.0,0.76,0.95,0.85,0.81,0.82,0.72
4837.0,0.76,0.93,0.85,0.79,0.84,0.72
4838.0,0.76,0.95,0.85,0.81,0.82,0.71
4839.0,0.76,0.93,0.84,0.79,0.84,0.71
4840.0,0.76,0.95,0.85,0.81,0.82,0.7
4841.0,0.76,0.93,0.83,0.79,0.83,0.7
4842.0,0.76,0.95,0.86,0.81,0.82,0.7
4843.0,0.76,0.93,0.83,0.79,0.83,0.72
4844.0,0.76,0.95,0.85,0.81,0.82,0.7
4845.0,0.75,0.93,0.84,0.79,0.83,0.71
4846.0,0.76,0.95,0.86,0.81,0.83,0.71
4847.0,0.76,0.93,0.83,0.79,0.84,0.71
4848.0,0.76,0.95,0.86,0.81,0.82,0.72
4849.0,0.76,0.93,0.84,0.79,0.84,0.7
4850.0,0.76,0.95,0.84,0.81,0.83,0.71
4851.0,0.76,0.93,0.85,0.79,0.84,0.7
4852.0,0.76,0.95,0.85,0.81,0.82,0.71
4853.0,0.76,0.94,0.84,0.79,0.83,0.71
4854.0,0.76,0.95,0.84,0.81,0.83,0.73
4855.0,0.76,0.94,0.84,0.79,0.84,0.7
4856.0,0.76,0.95,0.85,0.81,0.82,0.71
4857.0,0.76,0.94,0.84,0.79,0.83,0.72
4858.0,0.76,0.95,0.84,0.81,0.83,0.7
4859.0,0.76,0.94,0.84,0.79,0.83,0.7
4860.0,0.76,0.95,0.85,0.81,0.83,0.72
4861.0,0.76,0.94,0.85,0.79,0.84,0.71
4862.0,0.76,0.95,0.85,0.81,0.83,0.69
4863.0,0.76,0.94,0.84,0.79,0.83,0.71
4864.0,0.76,0.95,0.85,0.81,0.83,0.74
4865.0,0.76,0.94,0.84,0.79,0.84,0.7
4866.0,0.75,0.95,0.86,0.81,0.82,0.7
4867.0,0.75,0.94,0.84,0.79,0.83,0.7
4868.0,0.75,0.95,0.85,0.81,0.83,0.72
4869.0,0.75,0.94,0.83,0.79,0.84,0.73
4870.0,0.75,0.95,0.85,0.81,0.82,0.73
4871.0,0.75,0.94,0.85,0.79,0.83,0.71
4872.0,0.75,0.95,0.86,0.81,0.82,0.7
4873.0,0.75,0.94,0.84,0.79,0.84,0.73
4874.0,0.75,0.95,0.84,0.81,0.83,0.7
4875.0,0.75,0.94,0.83,0.79,0.83,0.73
4876.0,0.75,0.95,0.86,0.81,0.83,0.71
4877.0,0.75,0.94,0.83,0.79,0.83,0.71
4878.0,0.75,0.95,0.85,0.81,0.83,0.71
4879.0,0.75,0.94,0.84,0.79,0.83,0.72
4880.0,0.75,0.95,0.86,0.81,0.83,0.71
4881.0,0.75,0.94,0.85,0.79,0.84,0.71
4882.0,0.75,0.95,0.86,0.81,0.82,0.71
4883.0,0.75,0.94,0.85,0.79,0.83,0.69
4884.0,0.75,0.95,0.84,0.81,0.83,0.73
4885.0,0.75,0.94,0.85,0.79,0.83,0.69
4886.0,0.75,0.95,0.84,0.81,0.82,0.7
4887.0,0.75,0.94,0.85,0.79,0.84,0.68
4888.0,0.75,0.95,0.84,0.81,0.82,0.72
4889.0,0.75,0.94,0.83,0.79,0.83,0.73
4890.0,0.75,0.95,0.85,0.81,0.82,0.71
4891.0,0.75,0.94,0.85,0.79,0.83,0.71
4892.0,0.75,0.95,0.84,0.81,0.82,0.72
4893.0,0.75,0.94,0.83,0.79,0.83,0.68
4894.0,0.75,0.95,0.86,0.81,0.82,0.71
4895.0,0.75,0.94,0.84,0.79,0.83,0.72
4896.0,0.75,0.95,0.85,0.81,0.83,0.72
4897.0,0.75,0.94,0.83,0.79,0.83,0.71
4898.0,0.75,0.95,0.85,0.81,0.83,0.72
4899.0,0.75,0.94,0.84,0.79,0.84,0.71
4900.0,0.75,0.95,0.85,0.81,0.82,0.72
4901.0,0.75,0.94,0.83,0.79,0.84,0.72
4902.0,0.75,0.95,0.85,0.81,0.82,0.72
4903.0,0.75,0.94,0.84,0.79,0.84,0.7
4904.0,0.75,0.95,0.85,0.81,0.82,0.72
4905.0,0.75,0.94,0.84,0.79,0.83,0.73
4906.0,0.75,0.95,0.86,0.81,0.82,0.72
4907.0,0.75,0.94,0.85,0.79,0.84,0.71
4908.0,0.75,0.95,0.84,0.81,0.82,0.7
4909.0,0.75,0.94,0.84,0.79,0.84,0.7
4910.0,0.75,0.95,0.85,0.81,0.82,0.71
4911.0,0.75,0.94,0.84,0.79,0.83,0.71
4912.0,0.75,0.95,0.84,0.81,0.83,0.7
4913.0,0.75,0.94,0.83,0.79,0.83,0.71
4914.0,0.75,0.95,0.86,0.81,0.82,0.72
4915.0,0.75,0.94,0.83,0.79,0.83,0.71
4916.0,0.75,0.95,0.86,0.81,0.83,0.72
4917.0,0.75,0.94,0.84,0.79,0.84,0.71
4918.0,0.75,0.95,0.85,0.81,0.82,0.72
4919.0,0.75,0.94,0.84,0.79,0.84,0.71
4920.0,0.75,0.95,0.85,0.81,0.82,0.7
4921.0,0.75,0.94,0.85,0.79,0.83,0.71
4922.0,0.75,0.95,0.85,0.81,0.83,0.7
4923.0,0.75,0.94,0.83,0.79,0.84,0.7
4924.0,0.75,0.95,0.84,0.81,0.82,0.71
4925.0,0.75,0.94,0.85,0.79,0.83,0.71
4926.0,0.75,0.95,0.85,0.81,0.83,0.71
4927.0,0.75,0.94,0.84,0.79,0.84,0.73
