step,R1.0,R0.9,R0.8,R0.7,R0.6,R0.5
162.0,0.62,0.75,0.82,0.74,0.77,0.7
163.0,0.64,0.77,0.78,0.76,0.77,0.7
164.0,0.6,0.74,0.83,0.76,0.77,0.7
165.0,0.66,0.78,0.75,0.76,0.79,0.7
166.0,0.66,0.76,0.79,0.78,0.77,0.7
167.0,0.61,0.74,0.79,0.78,0.78,0.7
168.0,0.64,0.79,0.79,0.78,0.76,0.7
169.0,0.63,0.71,0.81,0.75,0.77,0.71
170.0,0.58,0.74,0.78,0.8,0.76,0.7
171.0,0.68,0.72,0.79,0.73,0.78,0.71
172.0,0.66,0.76,0.75,0.77,0.76,0.69
173.0,0.67,0.74,0.79,0.74,0.77,0.7
174.0,0.66,0.74,0.78,0.79,0.76,0.71
175.0,0.64,0.79,0.79,0.75,0.77,0.7
176.0,0.65,0.76,0.83,0.78,0.76,0.71
177.0,0.66,0.71,0.79,0.75,0.76,0.69
178.0,0.63,0.68,0.81,0.77,0.75,0.72
179.0,0.66,0.7,0.79,0.77,0.76,0.7
180.0,0.63,0.78,0.81,0.76,0.76,0.7
181.0,0.59,0.72,0.78,0.75,0.79,0.69
182.0,0.58,0.72,0.79,0.75,0.77,0.71
183.0,0.65,0.69,0.82,0.75,0.76,0.7
184.0,0.62,0.72,0.77,0.75,0.76,0.69
185.0,0.65,0.69,0.76,0.75,0.78,0.7
186.0,0.69,0.78,0.75,0.75,0.77,0.71
187.0,0.66,0.76,0.8,0.75,0.76,0.71
188.0,0.65,0.79,0.75,0.76,0.79,0.69
189.0,0.66,0.75,0.78,0.76,0.78,0.7
190.0,0.65,0.76,0.75,0.77,0.79,0.7
191.0,0.66,0.72,0.8,0.75,0.78,0.69
192.0,0.68,0.73,0.79,0.78,0.77,0.69
193.0,0.76,0.75,0.77,0.77,0.76,0.69
194.0,0.7,0.73,0.77,0.73,0.76,0.7
195.0,0.68,0.7,0.81,0.74,0.74,0.69
196.0,0.66,0.73,0.8,0.74,0.75,0.69
197.0,0.67,0.72,0.81,0.72,0.76,0.7
198.0,0.65,0.71,0.81,0.77,0.77,0.71
199.0,0.68,0.71,0.77,0.74,0.79,0.7
200.0,0.64,0.75,0.78,0.73,0.78,0.7
201.0,0.63,0.75,0.79,0.75,0.8,0.72
202.0,0.64,0.73,0.8,0.72,0.77,0.7
203.0,0.72,0.73,0.79,0.75,0.78,0.71
204.0,0.68,0.75,0.81,0.76,0.77,0.72
205.0,0.63,0.75,0.76,0.78,0.77,0.71
206.0,0.64,0.78,0.76,0.74,0.78,0.71
207.0,0.65,0.78,0.79,0.75,0.8,0.7
208.0,0.68,0.77,0.74,0.78,0.77,0.71
209.0,0.6,0.78,0.74,0.76,0.8,0.71
210.0,0.64,0.74,0.75,0.74,0.77,0.72
211.0,0.61,0.71,0.77,0.75,0.8,0.72
212.0,0.64,0.76,0.78,0.75,0.78,0.72
213.0,0.63,0.72,0.79,0.8,0.79,0.7
214.0,0.61,0.73,0.75,0.75,0.76,0.7
